Country,Country_Code,Year,Hydro_TW,Solar_TW,Wind_TW,Other_TW,Total_TW,Population
Algeria,DZA,1965,0.3933266,0,0,0,0.3933266,12550885
Algeria,DZA,1966,0.3623908,0,0,0,0.3623908,12902627
Algeria,DZA,1967,0.4065848,0,0,0,0.4065848,13275026
Algeria,DZA,1968,0.5568444,0,0,0,0.5568444,13663583
Algeria,DZA,1969,0.3623908,0,0,0,0.3623908,14061722
Algeria,DZA,1970,0.5833608,0,0,0,0.5833608,14464985
Algeria,DZA,1971,0.3270356,0,0,0,0.3270356,14872250
Algeria,DZA,1972,0.4993922,0,0,0,0.4993922,15285990
Algeria,DZA,1973,0.7557174,0,0,0,0.7557174,15709825
Algeria,DZA,1974,0.4993922,0,0,0,0.4993922,16149025
Algeria,DZA,1975,0.3270356,0,0,0,0.3270356,16607707
Algeria,DZA,1976,0.3844878,0,0,0,0.3844878,17085801
Algeria,DZA,1977,0.2695834,0,0,0,0.2695834,17582904
Algeria,DZA,1978,0.2563252,0,0,0,0.2563252,18102266
Algeria,DZA,1979,0.2916804,0,0,0,0.2916804,18647815
Algeria,DZA,1980,0.2563252,0,0,0,0.2563252,19221665
Algeria,DZA,1981,0.3623908,0,0,0,0.3623908,19824301
Algeria,DZA,1982,0.4772952,0,0,0,0.4772952,20452902
Algeria,DZA,1983,0.2342282,0,0,0,0.2342282,21101875
Algeria,DZA,1984,0.4551982,0,0,0,0.4551982,21763575
Algeria,DZA,1985,0.646,0,0,0,0.646,22431502
Algeria,DZA,1986,0.25,0,0,0,0.25,23102389
Algeria,DZA,1987,0.499,0,0,0,0.499,23774284
Algeria,DZA,1988,0.183,0,0,0,0.183,24443467
Algeria,DZA,1989,0.226,0,0,0,0.226,25106190
Algeria,DZA,1990,0.135,0,0,0,0.135,25758869
Algeria,DZA,1991,0.293,0,0,0,0.293,26400479
Algeria,DZA,1992,0.199,0,0,0,0.199,27028326
Algeria,DZA,1993,0.353,0,0,0,0.353,27635515
