Entity,Code,Year,Renewable Source,Terawatt Hours
Africa,,1965,Hydro,14.278805574733
Africa,,1965,Solar,0
Africa,,1965,Wind,0
Africa,,1965,Others,0
Africa,,1966,Hydro,15.649048937511
Africa,,1966,Solar,0
Africa,,1966,Wind,0
Africa,,1966,Others,0
Africa,,1967,Hydro,16.158332959104
Africa,,1967,Solar,0
Africa,,1967,Wind,0
Africa,,1967,Others,0
Africa,,1968,Hydro,18.622982764834
Africa,,1968,Solar,0
Africa,,1968,Wind,0
Africa,,1968,Others,0
Africa,,1969,Hydro,21.582896820817
Africa,,1969,Solar,0
Africa,,1969,Wind,0
Africa,,1969,Others,0
Africa,,1970,Hydro,27.076287015552
Africa,,1970,Solar,0
Africa,,1970,Wind,0
Africa,,1970,Others,0
Africa,,1971,Hydro,25.836605304094
Africa,,1971,Solar,0
Africa,,1971,Wind,0
Africa,,1971,Others,0.164
Africa,,1972,Hydro,29.836878415376
Africa,,1972,Solar,0
Africa,,1972,Wind,0
Africa,,1972,Others,0.165
Africa,,1973,Hydro,29.803741951533
Africa,,1973,Solar,0
Africa,,1973,Wind,0
Africa,,1973,Others,0.17
Africa,,1974,Hydro,35.089185489357
Africa,,1974,Solar,0
Africa,,1974,Wind,0
Africa,,1974,Others,0.175
Africa,,1975,Hydro,36.879048371158
Africa,,1975,Solar,0
Africa,,1975,Wind,0
Africa,,1975,Others,0.172
Africa,,1976,Hydro,40.861179239816
Africa,,1976,Solar,0
Africa,,1976,Wind,0
Africa,,1976,Others,0.185
Africa,,1977,Hydro,45.083351122531
Africa,,1977,Solar,0
Africa,,1977,Wind,0
Africa,,1977,Others,0.189
Africa,,1978,Hydro,46.085079340575
Africa,,1978,Solar,0
Africa,,1978,Wind,0
Africa,,1978,Others,0.195
Africa,,1979,Hydro,47.28020678388
Africa,,1979,Solar,0
Africa,,1979,Wind,0
Africa,,1979,Others,0.201
Africa,,1980,Hydro,46.0301705558753
Africa,,1980,Solar,0
Africa,,1980,Wind,0
Africa,,1980,Others,0.207
Africa,,1981,Hydro,48.3774464618705
Africa,,1981,Solar,0
Africa,,1981,Wind,0
Africa,,1981,Others,0.218
Africa,,1982,Hydro,48.6327147347722
Africa,,1982,Solar,0
Africa,,1982,Wind,0
Africa,,1982,Others,0.236
Africa,,1983,Hydro,45.5089146618705
Africa,,1983,Solar,0
Africa,,1983,Wind,0
Africa,,1983,Others,0.23
Africa,,1984,Hydro,45.1259603194245
Africa,,1984,Solar,0
Africa,,1984,Wind,0
Africa,,1984,Others,0.234
Africa,,1985,Hydro,49.4467506519585
Africa,,1985,Solar,0
Africa,,1985,Wind,0
Africa,,1985,Others,0.269
Africa,,1986,Hydro,51.1419867013589
Africa,,1986,Solar,0
Africa,,1986,Wind,0
Africa,,1986,Others,0.659
