Entity,Code,Year,Renewable.Source,Terawatt.Hours
Algeria,DZA,1965,Hydro,0.393
Algeria,DZA,1965,Solar,0
Algeria,DZA,1965,Wind,0
Algeria,DZA,1965,Others,0
Algeria,DZA,1966,Hydro,0.362
Algeria,DZA,1966,Solar,0
Algeria,DZA,1966,Wind,0
Algeria,DZA,1966,Others,0
Algeria,DZA,1967,Hydro,0.407
Algeria,DZA,1967,Solar,0
Algeria,DZA,1967,Wind,0
Algeria,DZA,1967,Others,0
Algeria,DZA,1968,Hydro,0.557
Algeria,DZA,1968,Solar,0
Algeria,DZA,1968,Wind,0
Algeria,DZA,1968,Others,0
Algeria,DZA,1969,Hydro,0.362
Algeria,DZA,1969,Solar,0
Algeria,DZA,1969,Wind,0
Algeria,DZA,1969,Others,0
Algeria,DZA,1970,Hydro,0.583
Algeria,DZA,1970,Solar,0
Algeria,DZA,1970,Wind,0
Algeria,DZA,1970,Others,0
Algeria,DZA,1971,Hydro,0.327
Algeria,DZA,1971,Solar,0
Algeria,DZA,1971,Wind,0
Algeria,DZA,1971,Others,0
Algeria,DZA,1972,Hydro,0.499
Algeria,DZA,1972,Solar,0
Algeria,DZA,1972,Wind,0
Algeria,DZA,1972,Others,0
Algeria,DZA,1973,Hydro,0.756
Algeria,DZA,1973,Solar,0
Algeria,DZA,1973,Wind,0
Algeria,DZA,1973,Others,0
Algeria,DZA,1974,Hydro,0.499
Algeria,DZA,1974,Solar,0
Algeria,DZA,1974,Wind,0
Algeria,DZA,1974,Others,0
Algeria,DZA,1975,Hydro,0.327
Algeria,DZA,1975,Solar,0
Algeria,DZA,1975,Wind,0
Algeria,DZA,1975,Others,0
Algeria,DZA,1976,Hydro,0.384
Algeria,DZA,1976,Solar,0
Algeria,DZA,1976,Wind,0
Algeria,DZA,1976,Others,0
Algeria,DZA,1977,Hydro,0.27
Algeria,DZA,1977,Solar,0
Algeria,DZA,1977,Wind,0
Algeria,DZA,1977,Others,0
Algeria,DZA,1978,Hydro,0.256
Algeria,DZA,1978,Solar,0
Algeria,DZA,1978,Wind,0
Algeria,DZA,1978,Others,0
Algeria,DZA,1979,Hydro,0.292
Algeria,DZA,1979,Solar,0
Algeria,DZA,1979,Wind,0
Algeria,DZA,1979,Others,0
Algeria,DZA,1980,Hydro,0.256
Algeria,DZA,1980,Solar,0
Algeria,DZA,1980,Wind,0
Algeria,DZA,1980,Others,0
Algeria,DZA,1981,Hydro,0.362
Algeria,DZA,1981,Solar,0
Algeria,DZA,1981,Wind,0
Algeria,DZA,1981,Others,0
Algeria,DZA,1982,Hydro,0.477
Algeria,DZA,1982,Solar,0
Algeria,DZA,1982,Wind,0
Algeria,DZA,1982,Others,0
Algeria,DZA,1983,Hydro,0.234
Algeria,DZA,1983,Solar,0
Algeria,DZA,1983,Wind,0
Algeria,DZA,1983,Others,0
Algeria,DZA,1984,Hydro,0.455
Algeria,DZA,1984,Solar,0
Algeria,DZA,1984,Wind,0
Algeria,DZA,1984,Others,0
Algeria,DZA,1985,Hydro,0.646
Algeria,DZA,1985,Solar,0
Algeria,DZA,1985,Wind,0
Algeria,DZA,1985,Others,0
Algeria,DZA,1986,Hydro,0.25
Algeria,DZA,1986,Solar,0
Algeria,DZA,1986,Wind,0
Algeria,DZA,1986,Others,0
Algeria,DZA,1987,Hydro,0.499
Algeria,DZA,1987,Solar,0
Algeria,DZA,1987,Wind,0
Algeria,DZA,1987,Others,0
Algeria,DZA,1988,Hydro,0.183
Algeria,DZA,1988,Solar,0
Algeria,DZA,1988,Wind,0
Algeria,DZA,1988,Others,0
Algeria,DZA,1989,Hydro,0.226
Algeria,DZA,1989,Solar,0
Algeria,DZA,1989,Wind,0
Algeria,DZA,1989,Others,0
Algeria,DZA,1990,Hydro,0.135
Algeria,DZA,1990,Solar,0
Algeria,DZA,1990,Wind,0
Algeria,DZA,1990,Others,0
Algeria,DZA,1991,Hydro,0.293
Algeria,DZA,1991,Solar,0
Algeria,DZA,1991,Wind,0
Algeria,DZA,1991,Others,0
Algeria,DZA,1992,Hydro,0.199
Algeria,DZA,1992,Solar,0
Algeria,DZA,1992,Wind,0
Algeria,DZA,1992,Others,0
Algeria,DZA,1993,Hydro,0.353
Algeria,DZA,1993,Solar,0
Algeria,DZA,1993,Wind,0
Algeria,DZA,1993,Others,0
Algeria,DZA,1994,Hydro,0.166
Algeria,DZA,1994,Solar,0
Algeria,DZA,1994,Wind,0
Algeria,DZA,1994,Others,0
Algeria,DZA,1995,Hydro,0.193
Algeria,DZA,1995,Solar,0
Algeria,DZA,1995,Wind,0
Algeria,DZA,1995,Others,0
Algeria,DZA,1996,Hydro,0.135
Algeria,DZA,1996,Solar,0
Algeria,DZA,1996,Wind,0
Algeria,DZA,1996,Others,0
Algeria,DZA,1997,Hydro,0.075
Algeria,DZA,1997,Solar,0
Algeria,DZA,1997,Wind,0
Algeria,DZA,1997,Others,0
Algeria,DZA,1998,Hydro,0.215
Algeria,DZA,1998,Solar,0
Algeria,DZA,1998,Wind,0
Algeria,DZA,1998,Others,0
Algeria,DZA,1999,Hydro,0.203
Algeria,DZA,1999,Solar,0
Algeria,DZA,1999,Wind,0
Algeria,DZA,1999,Others,0
Algeria,DZA,2000,Hydro,0.054
Algeria,DZA,2000,Solar,0
Algeria,DZA,2000,Wind,0
Algeria,DZA,2000,Others,0
Algeria,DZA,2001,Hydro,0.069
Algeria,DZA,2001,Solar,0
Algeria,DZA,2001,Wind,0
Algeria,DZA,2001,Others,0
Algeria,DZA,2002,Hydro,0.057
Algeria,DZA,2002,Solar,0
Algeria,DZA,2002,Wind,0
Algeria,DZA,2002,Others,0
Algeria,DZA,2003,Hydro,0.265
Algeria,DZA,2003,Solar,0
Algeria,DZA,2003,Wind,0
Algeria,DZA,2003,Others,0
Algeria,DZA,2004,Hydro,0.251
Algeria,DZA,2004,Solar,0
Algeria,DZA,2004,Wind,0
Algeria,DZA,2004,Others,0
Algeria,DZA,2005,Hydro,0.555
Algeria,DZA,2005,Solar,0
Algeria,DZA,2005,Wind,0
Algeria,DZA,2005,Others,0
Algeria,DZA,2006,Hydro,0.218
Algeria,DZA,2006,Solar,0
Algeria,DZA,2006,Wind,0
Algeria,DZA,2006,Others,0
Algeria,DZA,2007,Hydro,0.226
Algeria,DZA,2007,Solar,0
Algeria,DZA,2007,Wind,0
Algeria,DZA,2007,Others,0
Algeria,DZA,2008,Hydro,0.283
Algeria,DZA,2008,Solar,0
Algeria,DZA,2008,Wind,0
Algeria,DZA,2008,Others,0
Algeria,DZA,2009,Hydro,0.342
Algeria,DZA,2009,Solar,0
Algeria,DZA,2009,Wind,0
Algeria,DZA,2009,Others,0
Algeria,DZA,2010,Hydro,0.173
Algeria,DZA,2010,Solar,0.009
Algeria,DZA,2010,Wind,0
Algeria,DZA,2010,Others,0
Algeria,DZA,2011,Hydro,0.378
Algeria,DZA,2011,Solar,0.018
Algeria,DZA,2011,Wind,0
Algeria,DZA,2011,Others,0
Algeria,DZA,2012,Hydro,0.389
Algeria,DZA,2012,Solar,0.027
Algeria,DZA,2012,Wind,0
Algeria,DZA,2012,Others,0
Algeria,DZA,2013,Hydro,0.099
Algeria,DZA,2013,Solar,0.029
Algeria,DZA,2013,Wind,0
Algeria,DZA,2013,Others,0
Algeria,DZA,2014,Hydro,0.193
Algeria,DZA,2014,Solar,0.06
Algeria,DZA,2014,Wind,0.001
Algeria,DZA,2014,Others,0
Algeria,DZA,2015,Hydro,0.145
Algeria,DZA,2015,Solar,0.058
Algeria,DZA,2015,Wind,0.019
Algeria,DZA,2015,Others,0
Algeria,DZA,2016,Hydro,0.072
Algeria,DZA,2016,Solar,0.245
Algeria,DZA,2016,Wind,0.019
Algeria,DZA,2016,Others,0
Algeria,DZA,2017,Hydro,0.056
Algeria,DZA,2017,Solar,0.504
Algeria,DZA,2017,Wind,0.019
Algeria,DZA,2017,Others,0
Algeria,DZA,2018,Hydro,0.117
Algeria,DZA,2018,Solar,0.603
Algeria,DZA,2018,Wind,0.01
Algeria,DZA,2018,Others,0
Argentina,ARG,1965,Hydro,1.211
Argentina,ARG,1965,Solar,0
Argentina,ARG,1965,Wind,0
Argentina,ARG,1965,Others,0
Argentina,ARG,1966,Hydro,1.229
Argentina,ARG,1966,Solar,0
Argentina,ARG,1966,Wind,0
Argentina,ARG,1966,Others,0
Argentina,ARG,1967,Hydro,1.255
Argentina,ARG,1967,Solar,0
Argentina,ARG,1967,Wind,0
Argentina,ARG,1967,Others,0
Argentina,ARG,1968,Hydro,1.48
Argentina,ARG,1968,Solar,0
Argentina,ARG,1968,Wind,0
Argentina,ARG,1968,Others,0
Argentina,ARG,1969,Hydro,1.326
Argentina,ARG,1969,Solar,0
Argentina,ARG,1969,Wind,0
Argentina,ARG,1969,Others,0
