Country,Country_Code,Year,Population,Renewable Source,Terawatt Hours,Total Terawatt Hours
Algeria,DZA,1965,12550885,Hydro,0.393,0.393
Algeria,DZA,1965,12550885,Solar,0,0.393
Algeria,DZA,1965,12550885,Wind,0,0.393
Algeria,DZA,1965,12550885,Others,0,0.393
Algeria,DZA,1966,12902627,Hydro,0.362,0.362
Algeria,DZA,1966,12902627,Solar,0,0.362
Algeria,DZA,1966,12902627,Wind,0,0.362
Algeria,DZA,1966,12902627,Others,0,0.362
Algeria,DZA,1967,13275026,Hydro,0.407,0.407
Algeria,DZA,1967,13275026,Solar,0,0.407
Algeria,DZA,1967,13275026,Wind,0,0.407
Algeria,DZA,1967,13275026,Others,0,0.407
Algeria,DZA,1968,13663583,Hydro,0.557,0.557
Algeria,DZA,1968,13663583,Solar,0,0.557
Algeria,DZA,1968,13663583,Wind,0,0.557
Algeria,DZA,1968,13663583,Others,0,0.557
Algeria,DZA,1969,14061722,Hydro,0.362,0.362
Algeria,DZA,1969,14061722,Solar,0,0.362
Algeria,DZA,1969,14061722,Wind,0,0.362
Algeria,DZA,1969,14061722,Others,0,0.362
Algeria,DZA,1970,14464985,Hydro,0.583,0.583
Algeria,DZA,1970,14464985,Solar,0,0.583
Algeria,DZA,1970,14464985,Wind,0,0.583
Algeria,DZA,1970,14464985,Others,0,0.583
Algeria,DZA,1971,14872250,Hydro,0.327,0.327
Algeria,DZA,1971,14872250,Solar,0,0.327
Algeria,DZA,1971,14872250,Wind,0,0.327
Algeria,DZA,1971,14872250,Others,0,0.327
Algeria,DZA,1972,15285990,Hydro,0.499,0.499
Algeria,DZA,1972,15285990,Solar,0,0.499
Algeria,DZA,1972,15285990,Wind,0,0.499
Algeria,DZA,1972,15285990,Others,0,0.499
Algeria,DZA,1973,15709825,Hydro,0.756,0.756
Algeria,DZA,1973,15709825,Solar,0,0.756
Algeria,DZA,1973,15709825,Wind,0,0.756
Algeria,DZA,1973,15709825,Others,0,0.756
Algeria,DZA,1974,16149025,Hydro,0.499,0.499
Algeria,DZA,1974,16149025,Solar,0,0.499
Algeria,DZA,1974,16149025,Wind,0,0.499
Algeria,DZA,1974,16149025,Others,0,0.499
Algeria,DZA,1975,16607707,Hydro,0.327,0.327
Algeria,DZA,1975,16607707,Solar,0,0.327
Algeria,DZA,1975,16607707,Wind,0,0.327
Algeria,DZA,1975,16607707,Others,0,0.327
Algeria,DZA,1976,17085801,Hydro,0.384,0.384
Algeria,DZA,1976,17085801,Solar,0,0.384
Algeria,DZA,1976,17085801,Wind,0,0.384
Algeria,DZA,1976,17085801,Others,0,0.384
Algeria,DZA,1977,17582904,Hydro,0.27,0.27
Algeria,DZA,1977,17582904,Solar,0,0.27
Algeria,DZA,1977,17582904,Wind,0,0.27
Algeria,DZA,1977,17582904,Others,0,0.27
Algeria,DZA,1978,18102266,Hydro,0.256,0.256
Algeria,DZA,1978,18102266,Solar,0,0.256
Algeria,DZA,1978,18102266,Wind,0,0.256
Algeria,DZA,1978,18102266,Others,0,0.256
Algeria,DZA,1979,18647815,Hydro,0.292,0.292
Algeria,DZA,1979,18647815,Solar,0,0.292
Algeria,DZA,1979,18647815,Wind,0,0.292
Algeria,DZA,1979,18647815,Others,0,0.292
Algeria,DZA,1980,19221665,Hydro,0.256,0.256
Algeria,DZA,1980,19221665,Solar,0,0.256
Algeria,DZA,1980,19221665,Wind,0,0.256
Algeria,DZA,1980,19221665,Others,0,0.256
Algeria,DZA,1981,19824301,Hydro,0.362,0.362
Algeria,DZA,1981,19824301,Solar,0,0.362
Algeria,DZA,1981,19824301,Wind,0,0.362
Algeria,DZA,1981,19824301,Others,0,0.362
Algeria,DZA,1982,20452902,Hydro,0.477,0.477
Algeria,DZA,1982,20452902,Solar,0,0.477
Algeria,DZA,1982,20452902,Wind,0,0.477
Algeria,DZA,1982,20452902,Others,0,0.477
Algeria,DZA,1983,21101875,Hydro,0.234,0.234
Algeria,DZA,1983,21101875,Solar,0,0.234
Algeria,DZA,1983,21101875,Wind,0,0.234
Algeria,DZA,1983,21101875,Others,0,0.234
Algeria,DZA,1984,21763575,Hydro,0.455,0.455
Algeria,DZA,1984,21763575,Solar,0,0.455
Algeria,DZA,1984,21763575,Wind,0,0.455
Algeria,DZA,1984,21763575,Others,0,0.455
Algeria,DZA,1985,22431502,Hydro,0.646,0.646
Algeria,DZA,1985,22431502,Solar,0,0.646
Algeria,DZA,1985,22431502,Wind,0,0.646
