Country,Country_Code,Year,Population,Renewable_Source,Terawatt_Hours
Algeria,DZA,1965,12550885,Hydro,0.3933266
Algeria,DZA,1965,12550885,Solar,0
Algeria,DZA,1965,12550885,Wind,0
Algeria,DZA,1965,12550885,Other,0
Algeria,DZA,1965,12550885,All,0.3933266
Algeria,DZA,1966,12902627,Hydro,0.3623908
Algeria,DZA,1966,12902627,Solar,0
Algeria,DZA,1966,12902627,Wind,0
Algeria,DZA,1966,12902627,Other,0
Algeria,DZA,1966,12902627,All,0.3623908
Algeria,DZA,1967,13275026,Hydro,0.4065848
Algeria,DZA,1967,13275026,Solar,0
Algeria,DZA,1967,13275026,Wind,0
Algeria,DZA,1967,13275026,Other,0
Algeria,DZA,1967,13275026,All,0.4065848
Algeria,DZA,1968,13663583,Hydro,0.5568444
Algeria,DZA,1968,13663583,Solar,0
Algeria,DZA,1968,13663583,Wind,0
Algeria,DZA,1968,13663583,Other,0
Algeria,DZA,1968,13663583,All,0.5568444
Algeria,DZA,1969,14061722,Hydro,0.3623908
Algeria,DZA,1969,14061722,Solar,0
Algeria,DZA,1969,14061722,Wind,0
Algeria,DZA,1969,14061722,Other,0
Algeria,DZA,1969,14061722,All,0.3623908
Algeria,DZA,1970,14464985,Hydro,0.5833608
Algeria,DZA,1970,14464985,Solar,0
Algeria,DZA,1970,14464985,Wind,0
Algeria,DZA,1970,14464985,Other,0
Algeria,DZA,1970,14464985,All,0.5833608
Algeria,DZA,1971,14872250,Hydro,0.3270356
Algeria,DZA,1971,14872250,Solar,0
Algeria,DZA,1971,14872250,Wind,0
Algeria,DZA,1971,14872250,Other,0
Algeria,DZA,1971,14872250,All,0.3270356
Algeria,DZA,1972,15285990,Hydro,0.4993922
Algeria,DZA,1972,15285990,Solar,0
Algeria,DZA,1972,15285990,Wind,0
Algeria,DZA,1972,15285990,Other,0
Algeria,DZA,1972,15285990,All,0.4993922
Algeria,DZA,1973,15709825,Hydro,0.7557174
Algeria,DZA,1973,15709825,Solar,0
Algeria,DZA,1973,15709825,Wind,0
Algeria,DZA,1973,15709825,Other,0
Algeria,DZA,1973,15709825,All,0.7557174
Algeria,DZA,1974,16149025,Hydro,0.4993922
Algeria,DZA,1974,16149025,Solar,0
Algeria,DZA,1974,16149025,Wind,0
Algeria,DZA,1974,16149025,Other,0
Algeria,DZA,1974,16149025,All,0.4993922
Algeria,DZA,1975,16607707,Hydro,0.3270356
Algeria,DZA,1975,16607707,Solar,0
Algeria,DZA,1975,16607707,Wind,0
Algeria,DZA,1975,16607707,Other,0
Algeria,DZA,1975,16607707,All,0.3270356
Algeria,DZA,1976,17085801,Hydro,0.3844878
Algeria,DZA,1976,17085801,Solar,0
Algeria,DZA,1976,17085801,Wind,0
Algeria,DZA,1976,17085801,Other,0
Algeria,DZA,1976,17085801,All,0.3844878
Algeria,DZA,1977,17582904,Hydro,0.2695834
Algeria,DZA,1977,17582904,Solar,0
Algeria,DZA,1977,17582904,Wind,0
Algeria,DZA,1977,17582904,Other,0
Algeria,DZA,1977,17582904,All,0.2695834
Algeria,DZA,1978,18102266,Hydro,0.2563252
Algeria,DZA,1978,18102266,Solar,0
Algeria,DZA,1978,18102266,Wind,0
Algeria,DZA,1978,18102266,Other,0
Algeria,DZA,1978,18102266,All,0.2563252
Algeria,DZA,1979,18647815,Hydro,0.2916804
Algeria,DZA,1979,18647815,Solar,0
Algeria,DZA,1979,18647815,Wind,0
Algeria,DZA,1979,18647815,Other,0
Algeria,DZA,1979,18647815,All,0.2916804
Algeria,DZA,1980,19221665,Hydro,0.2563252
Algeria,DZA,1980,19221665,Solar,0
Algeria,DZA,1980,19221665,Wind,0
Algeria,DZA,1980,19221665,Other,0
Algeria,DZA,1980,19221665,All,0.2563252
Algeria,DZA,1981,19824301,Hydro,0.3623908
Algeria,DZA,1981,19824301,Solar,0
Algeria,DZA,1981,19824301,Wind,0
Algeria,DZA,1981,19824301,Other,0
Algeria,DZA,1981,19824301,All,0.3623908
Algeria,DZA,1982,20452902,Hydro,0.4772952
Algeria,DZA,1982,20452902,Solar,0
Algeria,DZA,1982,20452902,Wind,0
Algeria,DZA,1982,20452902,Other,0
Algeria,DZA,1982,20452902,All,0.4772952
Algeria,DZA,1983,21101875,Hydro,0.2342282
Algeria,DZA,1983,21101875,Solar,0
Algeria,DZA,1983,21101875,Wind,0
Algeria,DZA,1983,21101875,Other,0
Algeria,DZA,1983,21101875,All,0.2342282
Algeria,DZA,1984,21763575,Hydro,0.4551982
Algeria,DZA,1984,21763575,Solar,0
Algeria,DZA,1984,21763575,Wind,0
Algeria,DZA,1984,21763575,Other,0
Algeria,DZA,1984,21763575,All,0.4551982
Algeria,DZA,1985,22431502,Hydro,0.646
Algeria,DZA,1985,22431502,Solar,0
Algeria,DZA,1985,22431502,Wind,0
Algeria,DZA,1985,22431502,Other,0
Algeria,DZA,1985,22431502,All,0.646
Algeria,DZA,1986,23102389,Hydro,0.25
Algeria,DZA,1986,23102389,Solar,0
Algeria,DZA,1986,23102389,Wind,0
Algeria,DZA,1986,23102389,Other,0
Algeria,DZA,1986,23102389,All,0.25
Algeria,DZA,1987,23774284,Hydro,0.499
Algeria,DZA,1987,23774284,Solar,0
Algeria,DZA,1987,23774284,Wind,0
Algeria,DZA,1987,23774284,Other,0
Algeria,DZA,1987,23774284,All,0.499
Algeria,DZA,1988,24443467,Hydro,0.183
Algeria,DZA,1988,24443467,Solar,0
Algeria,DZA,1988,24443467,Wind,0
